date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2022-11-09,False,sa,mem,122,124,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-11-09,False,min,phx,117,129,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-09,False,okc,mil,132,136,0.4891657638136511,1.9523809523809523,0.5108342361863489,1.8695652173913042
2022-11-09,False,chi,no,111,115,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2022-11-09,False,sac,cle,127,120,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2022-11-09,False,lac,lal,114,101,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-10,False,wsh,dal,113,105,0.33402922755741127,2.9,0.6659707724425887,1.4545454545454546
2022-11-10,False,atl,phi,104,95,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-11-10,False,mia,cha,117,112,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-11-10,False,no,por,95,106,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-11-11,False,orl,phx,114,97,0.27586206896551724,3.5,0.7241379310344828,1.3333333333333333
2022-11-11,False,bos,den,131,112,0.6256684491978609,1.5555555555555556,0.3743315508021391,2.6
2022-11-11,False,ny,det,121,112,0.7687861271676301,1.263157894736842,0.23121387283236994,4.2
2022-11-11,False,sa,mil,111,93,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-11,False,okc,tor,132,113,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-11-11,False,mem,min,114,103,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-11-11,False,gs,cle,106,101,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-11,False,lal,sac,114,120,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2022-11-12,False,lac,bkn,95,110,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-11-12,False,wsh,utah,121,112,0.37433155080213903,2.6,0.625668449197861,1.5555555555555556
2022-11-12,False,det,bos,108,117,0.2365374937091092,4.1,0.7634625062908909,1.2702702702702702
2022-11-12,False,ind,tor,118,104,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-12,False,phi,atl,121,109,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-12,False,mia,cha,132,115,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
