date,home,away,pi_home,oi_home,pi_away,oi_away
2022-10-27,bkn,dal,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-10-27,okc,lac,0.3020134228187919,3.2,0.6979865771812082,1.3846153846153846
2022-10-27,gs,mia,0.679245283018868,1.4166666666666667,0.320754716981132,3.0
2022-10-27,sac,mem,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-10-28,det,atl,0.3207547169811321,3.0,0.6792452830188679,1.4166666666666667
2022-10-28,orl,cha,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-10-28,tor,phi,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-10-28,bos,cle,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2022-10-28,wsh,ind,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2022-10-28,min,lal,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
