date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2023-01-06,False,min,lac,128,115,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2023-01-06,False,phx,mia,96,104,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2023-01-06,False,lal,atl,130,114,0.42888402625820565,2.25,0.5711159737417943,1.6896551724137931
2023-01-07,False,sa,bos,116,121,0.10638297872340424,9.0,0.8936170212765957,1.0714285714285714
2023-01-07,False,chi,utah,126,118,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2023-01-07,False,dal,no,127,117,0.7687861271676301,1.263157894736842,0.23121387283236994,4.2
2023-01-07,False,gs,orl,101,115,0.6888888888888889,1.4,0.3111111111111111,3.1
2023-01-07,False,sac,lal,134,136,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2023-01-08,False,det,phi,111,123,0.3452115812917595,2.8,0.6547884187082404,1.4761904761904763
2023-01-08,False,tor,por,117,105,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2023-01-08,False,ind,cha,116,111,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2023-01-08,False,mia,bkn,101,102,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2023-01-08,False,mem,utah,123,118,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2023-01-08,False,okc,dal,120,109,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2023-01-08,False,hou,min,96,104,0.40372670807453415,2.4,0.5962732919254659,1.625
2023-01-08,False,phx,cle,98,112,0.32721864154685176,2.95,0.6727813584531482,1.434782608695652
2023-01-08,False,lac,atl,108,112,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2023-01-09,False,wsh,no,112,132,0.5324675324675325,1.8,0.46753246753246747,2.05
2023-01-09,False,ny,mil,107,111,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2023-01-09,False,bos,chi,107,99,0.7687861271676301,1.263157894736842,0.23121387283236994,4.2
2023-01-09,False,mem,sa,121,113,0.8162544169611309,1.1818181818181819,0.18374558303886912,5.25
2023-01-09,False,den,lal,122,109,0.8524590163934427,1.125,0.14754098360655732,6.5
2023-01-09,False,sac,orl,136,111,0.6935031297215627,1.392156862745098,0.3064968702784373,3.15
2023-01-10,False,phi,det,147,116,0.8936170212765957,1.0714285714285714,0.1063829787234043,9.0
