season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,game_date
2024,2023-11-02,True,False,orl,utah,115,113,30,36,24,25,0,34,24,28,27,0,away,1.5,223.5,,,,,1.0,1.0,2023-11-02
2024,2023-11-03,True,False,wsh,mia,114,121,34,20,27,33,0,34,26,41,20,0,home,8.5,224.5,,,,,0.0,1.0,2023-11-03
2024,2023-11-03,True,False,mem,por,113,115,26,27,24,25,11,33,21,22,26,13,away,3.5,219.5,,,,,0.0,1.0,2023-11-03
2024,2023-11-03,True,False,dal,den,114,125,24,31,32,27,0,40,30,32,23,0,home,5.5,229.5,,,,,1.0,1.0,2023-11-03
2024,2023-11-03,True,False,bkn,chi,109,107,35,24,19,31,0,30,28,22,27,0,home,3.5,221.5,,,,,0.0,0.0,2023-11-03
2024,2023-11-03,True,False,ny,mil,105,110,25,21,30,29,0,21,35,26,28,0,home,6.5,223.5,,,,,0.0,0.0,2023-11-03
2024,2023-11-03,True,False,cle,ind,116,121,26,27,34,29,0,36,34,18,33,0,away,1.5,231.5,,,,,0.0,1.0,2023-11-03
2024,2023-11-03,True,False,gs,okc,141,139,38,31,37,35,0,33,34,39,33,0,away,6.5,225.5,,,,,0.0,1.0,2023-11-03
2024,2023-11-04,True,False,utah,min,95,123,27,23,27,18,0,29,26,37,31,0,home,7.5,224.5,,,,,1.0,0.0,2023-11-04
2024,2023-11-04,True,False,bos,bkn,124,114,34,36,21,33,0,34,24,30,26,0,away,9.5,226.5,,,,,1.0,1.0,2023-11-04
2024,2023-11-04,True,False,cha,ind,125,124,27,27,38,33,0,27,19,50,28,0,home,5.5,241.5,,,,,0.0,1.0,2023-11-04
2024,2023-11-04,True,False,sac,hou,89,107,19,34,15,21,0,33,26,12,36,0,away,2.5,221.5,,,,,0.0,0.0,2023-11-04
2024,2023-11-04,True,False,phx,phi,100,112,24,21,30,25,0,25,27,28,32,0,home,5.5,220.5,,,,,1.0,0.0,2023-11-04
2024,2023-11-04,True,False,atl,no,123,105,27,26,41,29,0,35,25,23,22,0,home,1.5,237.5,,,,,0.0,0.0,2023-11-04
2024,2023-11-04,True,False,lal,orl,101,120,25,26,29,21,0,39,28,34,19,0,away,3.5,222.5,,,,,0.0,0.0,2023-11-04
2024,2023-11-04,True,False,chi,den,101,123,22,31,21,27,0,23,28,35,37,0,home,9.5,217.5,,,,,1.0,1.0,2023-11-04
2024,2023-11-05,True,False,gs,cle,104,115,30,15,32,27,0,29,28,29,29,0,home,0.5,222.5,,,,,1.0,0.0,2023-11-05
2024,2023-11-05,True,False,cha,dal,118,124,31,31,22,34,0,26,24,33,41,0,home,11.5,234.5,,,,,0.0,1.0,2023-11-05
2024,2023-11-05,True,False,phx,det,120,106,28,30,34,28,0,27,22,31,26,0,away,3.5,219.5,,,,,1.0,1.0,2023-11-05
2024,2023-11-05,True,False,tor,sa,123,116,22,13,36,39,13,26,28,32,24,6,away,4.5,222.5,,,,,1.0,1.0,2023-11-05
2024,2023-11-05,True,False,mem,por,112,100,30,33,19,30,0,32,23,31,14,0,away,3.5,219.5,,,,,1.0,0.0,2023-11-05
2024,2023-11-06,True,False,sac,hou,97,122,22,20,18,37,0,32,35,30,25,0,away,2.5,218.5,,,,,0.0,1.0,2023-11-06
2024,2023-11-06,True,False,sa,ind,111,152,28,33,26,24,0,44,42,33,33,0,home,8.5,238.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,lal,mia,107,108,33,26,20,28,0,33,29,28,18,0,home,1.5,222.5,,,,,0.0,0.0,2023-11-06
2024,2023-11-06,True,False,bos,min,109,114,26,29,19,27,8,29,23,27,22,13,away,3.5,221.5,,,,,0.0,1.0,2023-11-06
2024,2023-11-06,True,False,dal,orl,117,102,27,26,33,31,0,33,33,17,19,0,home,1.5,229.5,,,,,0.0,0.0,2023-11-06
2024,2023-11-06,True,False,gs,det,120,109,31,25,27,37,0,26,22,34,27,0,away,8.5,224.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,atl,okc,117,126,28,22,27,40,0,29,29,38,30,0,home,0.5,242.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,mil,bkn,129,125,29,34,33,33,0,32,35,27,31,0,away,4.5,232.5,,,,,0.0,1.0,2023-11-06
2024,2023-11-06,True,False,utah,chi,113,130,32,20,26,35,0,37,29,32,32,0,home,3.5,223.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,no,den,116,134,27,44,21,24,0,25,34,40,35,0,home,5.5,222.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,wsh,phi,128,146,24,34,40,30,0,33,42,45,26,0,home,11.5,229.5,,,,,1.0,1.0,2023-11-06
2024,2023-11-06,True,False,lac,ny,97,111,21,25,30,21,0,19,23,34,35,0,home,1.5,223.5,,,,,1.0,0.0,2023-11-06
2024,2023-11-08,True,False,det,mil,118,120,23,29,43,23,0,24,38,28,30,0,home,12.5,227.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-08,True,False,bos,phi,103,106,27,27,17,32,0,22,39,20,25,0,away,2.5,229.5,,,,,0.0,0.0,2023-11-08
2024,2023-11-08,True,False,gs,den,105,108,21,26,31,27,0,26,27,23,32,0,home,4.5,227.5,,,,,0.0,0.0,2023-11-08
2024,2023-11-08,True,False,tor,dal,127,116,27,35,37,28,0,33,25,30,28,0,home,4.5,225.5,,,,,0.0,1.0,2023-11-08
2024,2023-11-08,True,False,no,min,101,122,24,20,24,33,0,28,44,25,25,0,home,9.5,215.5,,,,,1.0,1.0,2023-11-08
2024,2023-11-08,True,False,utah,ind,118,134,29,31,38,20,0,29,38,34,33,0,home,5.5,242.5,,,,,1.0,1.0,2023-11-08
